location_id,building_code,floor,location_kind,room_code,aliases,name_th,category,map_asset_id,x,y,detail_th,landmarks,source_node_id,source_x,source_y,flags
BR3-F1-R102-1,BR3,1,room,BR3-102/1,BR3-102/1|LC3-102/1|LC3_102/1|บร3-102/1|บร.3-102/1|102/1,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),seminar_room,br3-floor-1,517,84,อาคาร บร.3 ชั้น 1 ห้อง 102/1 — ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLMTOILET:14|near_stairs:BR3-F1-PSTAIR-2:10,LC3_102/1,477,44,
BR3-F1-R102-2,BR3,1,room,BR3-102/2,BR3-102/2|LC3-102/2|LC3_102/2|บร3-102/2|บร.3-102/2|102/2,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),seminar_room,br3-floor-1,485,85,อาคาร บร.3 ชั้น 1 ห้อง 102/2 — ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLMTOILET:13|near_stairs:BR3-F1-PSTAIR-2:11,LC3_102/2,445,45,
BR3-F1-R103,BR3,1,room,BR3-103,BR3-103|LC3-103|LC3_103|บร3-103|บร.3-103|103,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,440,85,อาคาร บร.3 ชั้น 1 ห้อง 103 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:12|near_stairs:BR3-F1-PSTAIR-2:12,LC3_103,400,45,
BR3-F1-R104,BR3,1,room,BR3-104,BR3-104|LC3-104|LC3_104|บร3-104|บร.3-104|104,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,376,86,อาคาร บร.3 ชั้น 1 ห้อง 104 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:10|near_stairs:BR3-F1-PSTAIR-1:11,LC3_104,336,46,
BR3-F1-R104-1,BR3,1,room,BR3-104/1,BR3-104/1|LC3-104/1|LC3_104/1|บร3-104/1|บร.3-104/1|104/1,ห้องพักนักศึกษาระดับบัณฑิตศึกษา (วิทยาศาสตร์สิ่งแวดล้อม),student_room,br3-floor-1,327,86,อาคาร บร.3 ชั้น 1 ห้อง 104/1 — ห้องพักนักศึกษาระดับบัณฑิตศึกษา (วิทยาศาสตร์สิ่งแวดล้อม),near_toilet:BR3-F1-PLMTOILET:9|near_stairs:BR3-F1-PSTAIR-1:10,LC3_104/1,287,46,
BR3-F1-R105,BR3,1,room,BR3-105,BR3-105|LC3-105|LC3_105|บร3-105|บร.3-105|105,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,327,154,อาคาร บร.3 ชั้น 1 ห้อง 105 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:9|near_stairs:BR3-F1-PSTAIR-1:10,LC3_105,287,114,
BR3-F1-R106,BR3,1,room,BR3-106,BR3-106|LC3-106|LC3_106|บร3-106|บร.3-106|106,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,278,87,อาคาร บร.3 ชั้น 1 ห้อง 106 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:8|near_stairs:BR3-F1-PSTAIR-1:9,LC3_106,238,47,
BR3-F1-R107,BR3,1,room,BR3-107,BR3-107|LC3-107|LC3_107|บร3-107|บร.3-107|107,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,251,151,อาคาร บร.3 ชั้น 1 ห้อง 107 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:7|near_stairs:BR3-F1-PSTAIR-1:8,LC3_107,211,111,
BR3-F1-R108,BR3,1,room,BR3-108,BR3-108|LC3-108|LC3_108|บร3-108|บร.3-108|108,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,216,87,อาคาร บร.3 ชั้น 1 ห้อง 108 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:6|near_stairs:BR3-F1-PSTAIR-1:7,LC3_108,176,47,
BR3-F1-R108-1,BR3,1,room,BR3-108/1,BR3-108/1|LC3-108/1|LC3_108/1|บร3-108/1|บร.3-108/1|108/1,ห้องเจ้าหน้าที่,staff_room,br3-floor-1,172,71,อาคาร บร.3 ชั้น 1 ห้อง 108/1 — ห้องเจ้าหน้าที่,near_toilet:BR3-F1-PLMTOILET:7|near_stairs:BR3-F1-PSTAIR-1:8,LC3_108/1,132,31,
BR3-F1-R109,BR3,1,room,BR3-109,BR3-109|LC3-109|LC3_109|บร3-109|บร.3-109|109,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,125,90,อาคาร บร.3 ชั้น 1 ห้อง 109 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:7|near_stairs:BR3-F1-PSTAIR-1:8,LC3_109,85,50,
BR3-F1-R110,BR3,1,room,BR3-110,BR3-110|LC3-110|LC3_110|บร3-110|บร.3-110|110,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,122,142,อาคาร บร.3 ชั้น 1 ห้อง 110 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:4|near_stairs:BR3-F1-PSTAIR-1:5,LC3_110,82,102,
BR3-F1-R111,BR3,1,room,BR3-111,BR3-111|LC3-111|LC3_111|บร3-111|บร.3-111|111,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,123,209,อาคาร บร.3 ชั้น 1 ห้อง 111 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLMTOILET:3|near_stairs:BR3-F1-PSTAIR-1:4,LC3_111,83,169,
BR3-F1-R115,BR3,1,room,BR3-115,BR3-115|LC3-115|LC3_115|บร3-115|บร.3-115|115,ห้องสัมมนาทางคณิตศาสตร์และสถิติ,seminar_room,br3-floor-1,124,397,อาคาร บร.3 ชั้น 1 ห้อง 115 — ห้องสัมมนาทางคณิตศาสตร์และสถิติ,near_toilet:BR3-F1-PLFTOILET:3|near_stairs:BR3-F1-PSTAIR-1:4,LC3_115,84,357,
BR3-F1-R116,BR3,1,room,BR3-116,BR3-116|LC3-116|LC3_116|บร3-116|บร.3-116|116,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,124,463,อาคาร บร.3 ชั้น 1 ห้อง 116 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLFTOILET:4|near_stairs:BR3-F1-PSTAIR-1:5,LC3_116,84,423,
BR3-F1-R117,BR3,1,room,BR3-117,BR3-117|LC3-117|LC3_117|บร3-117|บร.3-117|117,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,128,523,อาคาร บร.3 ชั้น 1 ห้อง 117 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLFTOILET:7|near_stairs:BR3-F1-PSTAIR-1:8,LC3_117,88,483,
BR3-F1-R118,BR3,1,room,BR3-118,BR3-118|LC3-118|LC3_118|บร3-118|บร.3-118|118,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,224,530,อาคาร บร.3 ชั้น 1 ห้อง 118 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLFTOILET:6|near_stairs:BR3-F1-PSTAIR-1:7,LC3_118,184,490,
BR3-F1-R118-1,BR3,1,room,BR3-118/1,BR3-118/1|LC3-118/1|LC3_118/1|บร3-118/1|บร.3-118/1|118/1,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,267,531,อาคาร บร.3 ชั้น 1 ห้อง 118/1 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLFTOILET:8|near_stairs:BR3-F1-PSTAIR-1:9,LC3_118/1,227,491,
BR3-F1-R119,BR3,1,room,BR3-119,BR3-119|LC3-119|LC3_119|บร3-119|บร.3-119|119,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,224,460,อาคาร บร.3 ชั้น 1 ห้อง 119 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:6|near_stairs:BR3-F1-PSTAIR-1:7,LC3_119,184,420,
BR3-F1-R119-1,BR3,1,room,BR3-119/1,BR3-119/1|LC3-119/1|LC3_119/1|บร3-119/1|บร.3-119/1|119/1,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,245,459,อาคาร บร.3 ชั้น 1 ห้อง 119/1 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:7|near_stairs:BR3-F1-PSTAIR-1:8,LC3_119/1,205,419,
BR3-F1-R119-2,BR3,1,room,BR3-119/2,BR3-119/2|LC3-119/2|LC3_119/2|บร3-119/2|บร.3-119/2|119/2,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,267,459,อาคาร บร.3 ชั้น 1 ห้อง 119/2 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:8|near_stairs:BR3-F1-PSTAIR-1:9,LC3_119/2,227,419,
BR3-F1-R119-3,BR3,1,room,BR3-119/3,BR3-119/3|LC3-119/3|LC3_119/3|บร3-119/3|บร.3-119/3|119/3,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,290,458,อาคาร บร.3 ชั้น 1 ห้อง 119/3 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:9|near_stairs:BR3-F1-PSTAIR-1:10,LC3_119/3,250,418,
BR3-F1-R119-4,BR3,1,room,BR3-119/4,BR3-119/4|LC3-119/4|LC3_119/4|บร3-119/4|บร.3-119/4|119/4,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,312,460,อาคาร บร.3 ชั้น 1 ห้อง 119/4 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:10|near_stairs:BR3-F1-PSTAIR-2:11,LC3_119/4,272,420,
BR3-F1-R119-5,BR3,1,room,BR3-119/5,BR3-119/5|LC3-119/5|LC3_119/5|บร3-119/5|บร.3-119/5|119/5,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,333,460,อาคาร บร.3 ชั้น 1 ห้อง 119/5 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:11|near_stairs:BR3-F1-PSTAIR-2:10,LC3_119/5,293,420,
BR3-F1-R120,BR3,1,room,BR3-120,BR3-120|LC3-120|LC3_120|บร3-120|บร.3-120|120,ห้องเก็บของ,storage,br3-floor-1,329,528,อาคาร บร.3 ชั้น 1 ห้อง 120 — ห้องเก็บของ,near_toilet:BR3-F1-PLFTOILET:11|near_stairs:BR3-F1-PSTAIR-2:10,LC3_120,289,488,
BR3-F1-R121,BR3,1,room,BR3-121,BR3-121|LC3-121|LC3_121|บร3-121|บร.3-121|121,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,408,531,อาคาร บร.3 ชั้น 1 ห้อง 121 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLFTOILET:12|near_stairs:BR3-F1-PSTAIR-2:9,LC3_121,368,491,
BR3-F1-R121-1,BR3,1,room,BR3-121/1,BR3-121/1|LC3-121/1|LC3_121/1|บร3-121/1|บร.3-121/1|121/1,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,478,536,อาคาร บร.3 ชั้น 1 ห้อง 121/1 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:9,LC3_121/1,438,496,
BR3-F1-R121-2,BR3,1,room,BR3-121/2,BR3-121/2|LC3-121/2|LC3_121/2|บร3-121/2|บร.3-121/2|121/2,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,504,511,อาคาร บร.3 ชั้น 1 ห้อง 121/2 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:9,LC3_121/2,464,471,
BR3-F1-R121-3,BR3,1,room,BR3-121/3,BR3-121/3|LC3-121/3|LC3_121/3|บร3-121/3|บร.3-121/3|121/3,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,527,536,อาคาร บร.3 ชั้น 1 ห้อง 121/3 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PRFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:8,LC3_121/3,487,496,
BR3-F1-R121-4,BR3,1,room,BR3-121/4,BR3-121/4|LC3-121/4|LC3_121/4|บร3-121/4|บร.3-121/4|121/4,ห้องโครงการให้คำปรึกษาทางสถิติเพื่อการวิจัย / ห้องสมาคมศิษย์เก่า คณะวิทยาศาสตร์และเทคโนโลยี,service_room,br3-floor-1,758,521,อาคาร บร.3 ชั้น 1 ห้อง 121/4 — ห้องโครงการให้คำปรึกษาทางสถิติเพื่อการวิจัย / ห้องสมาคมศิษย์เก่า คณะวิทยาศาสตร์และเทคโนโลยี,near_toilet:BR3-F1-PRFTOILET:10|near_stairs:BR3-F1-PSTAIR-2:6,LC3_121/4,718,481,
BR3-F1-R121-5,BR3,1,room,BR3-121/5,BR3-121/5|LC3-121/5|LC3_121/5|บร3-121/5|บร.3-121/5|121/5,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,br3-floor-1,805,519,อาคาร บร.3 ชั้น 1 ห้อง 121/5 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:BR3-F1-PRFTOILET:9|near_stairs:BR3-F1-PSTAIR-2:7,LC3_121/5,765,479,
BR3-F1-R122,BR3,1,room,BR3-122,BR3-122|LC3-122|LC3_122|บร3-122|บร.3-122|122,ห้องบรรยายเรียนรวม,lecture_room,br3-floor-1,408,458,อาคาร บร.3 ชั้น 1 ห้อง 122 — ห้องบรรยายเรียนรวม,near_toilet:BR3-F1-PLFTOILET:12|near_stairs:BR3-F1-PSTAIR-2:9,LC3_122,368,418,
BR3-F1-R122-1,BR3,1,room,BR3-122/1,BR3-122/1|LC3-122/1|LC3_122/1|บร3-122/1|บร.3-122/1|122/1,ห้องเจ้าหน้าที่,staff_room,br3-floor-1,478,441,อาคาร บร.3 ชั้น 1 ห้อง 122/1 — ห้องเจ้าหน้าที่,near_toilet:BR3-F1-PLFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:9,LC3_122/1,438,401,
BR3-F1-R122-2,BR3,1,room,BR3-122/2,BR3-122/2|LC3-122/2|LC3_122/2|บร3-122/2|บร.3-122/2|122/2,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,503,461,อาคาร บร.3 ชั้น 1 ห้อง 122/2 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:9,LC3_122/2,463,421,
BR3-F1-R122-3,BR3,1,room,BR3-122/3,BR3-122/3|LC3-122/3|LC3_122/3|บร3-122/3|บร.3-122/3|122/3,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,527,442,อาคาร บร.3 ชั้น 1 ห้อง 122/3 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PRFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:8,LC3_122/3,487,402,
BR3-F1-R122-4,BR3,1,room,BR3-122/4,BR3-122/4|LC3-122/4|LC3_122/4|บร3-122/4|บร.3-122/4|122/4,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,544,442,อาคาร บร.3 ชั้น 1 ห้อง 122/4 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PRFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:8,LC3_122/4,504,402,
BR3-F1-R122-5,BR3,1,room,BR3-122/5,BR3-122/5|LC3-122/5|LC3_122/5|บร3-122/5|บร.3-122/5|122/5,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,568,462,อาคาร บร.3 ชั้น 1 ห้อง 122/5 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PRFTOILET:14|near_stairs:BR3-F1-PSTAIR-2:8,LC3_122/5,528,422,
BR3-F1-R122-6,BR3,1,room,BR3-122/6,BR3-122/6|LC3-122/6|LC3_122/6|บร3-122/6|บร.3-122/6|122/6,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,594,443,อาคาร บร.3 ชั้น 1 ห้อง 122/6 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PRFTOILET:13|near_stairs:BR3-F1-PSTAIR-2:7,LC3_122/6,554,403,
BR3-F1-R123,BR3,1,room,BR3-123,BR3-123|LC3-123|LC3_123|บร3-123|บร.3-123|123,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,br3-floor-1,885,484,อาคาร บร.3 ชั้น 1 ห้อง 123 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:BR3-F1-PRFTOILET:8|near_stairs:BR3-F1-PSTAIR-3:7,LC3_123,845,444,
BR3-F1-R123-1,BR3,1,room,BR3-123/1,BR3-123/1|LC3-123/1|LC3_123/1|บร3-123/1|บร.3-123/1|123/1,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,br3-floor-1,887,548,อาคาร บร.3 ชั้น 1 ห้อง 123/1 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:BR3-F1-PRFTOILET:9|near_stairs:BR3-F1-PSTAIR-3:8,LC3_123/1,847,508,
BR3-F1-R124-1,BR3,1,room,BR3-124/1,BR3-124/1|LC3-124/1|LC3_124/1|บร3-124/1|บร.3-124/1|124/1,ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,research_room,br3-floor-1,954,533,อาคาร บร.3 ชั้น 1 ห้อง 124/1 — ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,near_toilet:BR3-F1-PRFTOILET:9|near_stairs:BR3-F1-PSTAIR-3:8,LC3_124/1,914,493,
BR3-F1-R124-2,BR3,1,room,BR3-124/2,BR3-124/2|LC3-124/2|LC3_124/2|บร3-124/2|บร.3-124/2|124/2,ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,research_room,br3-floor-1,954,466,อาคาร บร.3 ชั้น 1 ห้อง 124/2 — ห้องวิจัยพลาสมาและนิวเคลียร์ฟิวชัน,near_toilet:BR3-F1-PRFTOILET:8|near_stairs:BR3-F1-PSTAIR-3:7,LC3_124/2,914,426,
BR3-F1-R125,BR3,1,room,BR3-125,BR3-125|LC3-125|LC3_125|บร3-125|บร.3-125|125,,unknown,br3-floor-1,1037,668,อาคาร บร.3 ชั้น 1 ห้อง 125,near_toilet:BR3-F1-PRFTOILET:12|near_stairs:BR3-F1-PSTAIR-3:11,LC3_125,997,628,needs_field_validation
BR3-F1-R125-1,BR3,1,room,BR3-125/1,BR3-125/1|LC3-125/1|LC3_125/1|บร3-125/1|บร.3-125/1|125/1,ห้องเก็บของ,storage,br3-floor-1,1038,633,อาคาร บร.3 ชั้น 1 ห้อง 125/1 — ห้องเก็บของ,near_toilet:BR3-F1-PRFTOILET:13|near_stairs:BR3-F1-PSTAIR-3:12,LC3_125/1,998,593,
BR3-F1-R126,BR3,1,room,BR3-126,BR3-126|LC3-126|LC3_126|บร3-126|บร.3-126|126,,unknown,br3-floor-1,1127,668,อาคาร บร.3 ชั้น 1 ห้อง 126,near_toilet:BR3-F1-PRFTOILET:12|near_stairs:BR3-F1-PSTAIR-3:11,LC3_126,1087,628,needs_field_validation
BR3-F1-R127,BR3,1,room,BR3-127,BR3-127|LC3-127|LC3_127|บร3-127|บร.3-127|127,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,br3-floor-1,1051,517,อาคาร บร.3 ชั้น 1 ห้อง 127 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:BR3-F1-PRFTOILET:10|near_stairs:BR3-F1-PSTAIR-3:9,LC3_127,1011,477,
BR3-F1-R128,BR3,1,room,BR3-128,BR3-128|LC3-128|LC3_128|บร3-128|บร.3-128|128,ห้องปฏิบัติการอิเล็กทรอนิกส์,laboratory,br3-floor-1,1092,516,อาคาร บร.3 ชั้น 1 ห้อง 128 — ห้องปฏิบัติการอิเล็กทรอนิกส์,near_toilet:BR3-F1-PRFTOILET:12|near_stairs:BR3-F1-PSTAIR-3:11,LC3_128,1052,476,
BR3-F1-R129,BR3,1,room,BR3-129,BR3-129|LC3-129|LC3_129|บร3-129|บร.3-129|129,ห้องปฏิบัติการอิเล็กทรอนิกส์,laboratory,br3-floor-1,1136,516,อาคาร บร.3 ชั้น 1 ห้อง 129 — ห้องปฏิบัติการอิเล็กทรอนิกส์,near_toilet:BR3-F1-PRFTOILET:13|near_stairs:BR3-F1-PSTAIR-3:12,LC3_129,1096,476,
BR3-F1-R130,BR3,1,room,BR3-130,BR3-130|LC3-130|LC3_130|บร3-130|บร.3-130|130,ห้องเก็บของ,storage,br3-floor-1,1083,376,อาคาร บร.3 ชั้น 1 ห้อง 130 — ห้องเก็บของ,near_toilet:BR3-F1-PRMTOILET:3|near_stairs:BR3-F1-PSTAIR-3:5,LC3_130,1043,336,
BR3-F1-R131,BR3,1,room,BR3-131,BR3-131|LC3-131|LC3_131|บร3-131|บร.3-131|131,ห้องเก็บของ,storage,br3-floor-1,1103,377,อาคาร บร.3 ชั้น 1 ห้อง 131 — ห้องเก็บของ,near_toilet:BR3-F1-PRMTOILET:2|near_stairs:BR3-F1-PSTAIR-3:6,LC3_131,1063,337,
BR3-F1-R132,BR3,1,room,BR3-132,BR3-132|LC3-132|LC3_132|บร3-132|บร.3-132|132,ห้องควบคุมไฟฟ้า,utility,br3-floor-1,1138,404,อาคาร บร.3 ชั้น 1 ห้อง 132 — ห้องควบคุมไฟฟ้า,near_toilet:BR3-F1-PRMTOILET:7|near_stairs:BR3-F1-PSTAIR-3:7,LC3_132,1098,364,
BR3-F1-R135,BR3,1,room,BR3-135,BR3-135|LC3-135|LC3_135|บร3-135|บร.3-135|135,,unknown,br3-floor-1,1129,213,อาคาร บร.3 ชั้น 1 ห้อง 135,near_toilet:BR3-F1-PRFTOILET:3|near_stairs:BR3-F1-PSTAIR-3:4,LC3_135,1089,173,needs_field_validation
BR3-F1-R136,BR3,1,room,BR3-136,BR3-136|LC3-136|LC3_136|บร3-136|บร.3-136|136,ห้องพักอาจารย์ (ฟิสิกส์),faculty_office,br3-floor-1,1060,94,อาคาร บร.3 ชั้น 1 ห้อง 136 — ห้องพักอาจารย์ (ฟิสิกส์),near_toilet:BR3-F1-PRFTOILET:4|near_stairs:BR3-F1-PSTAIR-3:5,LC3_136,1020,54,
BR3-F1-R137-1,BR3,1,room,BR3-137/1,BR3-137/1|LC3-137/1|LC3_137/1|บร3-137/1|บร.3-137/1|137/1,ห้องวิจัยฟิสิกส์,research_room,br3-floor-1,1016,103,อาคาร บร.3 ชั้น 1 ห้อง 137/1 — ห้องวิจัยฟิสิกส์,near_toilet:BR3-F1-PRFTOILET:5|near_stairs:BR3-F1-PSTAIR-3:6,LC3_137/1,976,63,
BR3-F1-R137-2,BR3,1,room,BR3-137/2,BR3-137/2|LC3-137/2|LC3_137/2|บร3-137/2|บร.3-137/2|137/2,ห้องวิจัยฟิสิกส์,research_room,br3-floor-1,954,103,อาคาร บร.3 ชั้น 1 ห้อง 137/2 — ห้องวิจัยฟิสิกส์,near_toilet:BR3-F1-PRFTOILET:6|near_stairs:BR3-F1-PSTAIR-3:5,LC3_137/2,914,63,
BR3-F1-R137-3,BR3,1,room,BR3-137/3,BR3-137/3|LC3-137/3|LC3_137/3|บร3-137/3|บร.3-137/3|137/3,ห้องวิจัยฟิสิกส์,research_room,br3-floor-1,886,103,อาคาร บร.3 ชั้น 1 ห้อง 137/3 — ห้องวิจัยฟิสิกส์,near_toilet:BR3-F1-PRFTOILET:7|near_stairs:BR3-F1-PSTAIR-3:6,LC3_137/3,846,63,
